booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B001356,P01581,F0189,A020,Economy,171.8,EUR,2025-09-02,call_center
B001357,P01607,F0221,A034,Economy,165.71,USD,2025-09-02,website
B001358,P01721,F0067,A060,Economy,74.26,EUR,2025-09-02,website
B001359,P00417,F0030,A010,Economy,117.53,EUR,2025-09-02,mobile_app
B001360,P01390,F0014,A048,Economy,129.41,EUR,2025-09-02,mobile_app
B001361,P01560,F0053,A031,Business,718.93,GBP,2025-09-02,website
B001362,P00376,F0222,A018,Economy,126.97,EUR,2025-09-02,mobile_app
B001363,P01137,F0250,A073,Economy,153.16,EUR,2025-09-02,website
B001364,P00595,F0270,A044,Business,1202.19,EUR,2025-09-02,website
B001365,P01068,F0285,A045,Economy,196.13,USD,2025-09-02,website
B001366,P01354,F0123,A073,Economy,187.0,USD,2025-09-02,mobile_app
B001367,P00479,F0210,A033,Economy,153.29,USD,2025-09-02,website
B001368,P00912,F0054,A079,Premium Economy,388.86,EUR,2025-09-02,travel_agency
B001369,P01144,F0261,A057,Economy,145.19,EUR,2025-09-02,website
B001370,P00033,F0296,A068,Economy,162.05,EUR,2025-09-02,website
B001371,P01212,F0086,A076,Economy,160.98,USD,2025-09-02,mobile_app
B001372,P00770,F0322,A075,Economy,181.57,USD,2025-09-02,travel_agency
B001373,P01217,F0331,A051,Economy,166.0,USD,2025-09-02,travel_agency
B001374,P01057,F0235,A052,Economy,109.24,USD,2025-09-02,website
B001375,P01152,F0198,A004,Economy,103.27,EUR,2025-09-02,website
B001376,P01815,F0011,A008,Premium Economy,271.35,USD,2025-09-02,call_center
B001377,P01824,F0101,A074,Business,693.24,EUR,2025-09-02,travel_agency
B001378,P00290,F0116,A020,Economy,169.81,EUR,2025-09-02,mobile_app
B001379,P01420,F0030,A010,Economy,74.89,USD,2025-09-02,website
B001380,P01552,F0330,A064,Economy,124.63,GBP,2025-09-02,mobile_app
B001381,P00634,F0091,A073,Premium Economy,348.99,GBP,2025-09-02,website
B001382,P01360,F0313,A032,Economy,155.48,GBP,2025-09-02,mobile_app
B001383,P01137,F0268,A059,Economy,167.38,USD,2025-09-02,call_center
B001384,P00835,F0002,A073,Business,1327.43,EUR,2025-09-02,website
B001385,P00700,F0292,A019,Economy,75.77,USD,2025-09-02,travel_agency
B001386,P00735,F0209,A006,Economy,140.61,EUR,2025-09-02,mobile_app
B001387,P00784,F0049,A038,Premium Economy,352.46,EUR,2025-09-02,mobile_app
B001388,P00974,F0112,A065,Economy,173.9,EUR,2025-09-02,travel_agency
B001389,P01641,F0076,A059,Premium Economy,338.78,USD,2025-09-02,call_center
B001390,P00394,F0063,A062,Economy,169.93,EUR,2025-09-02,website
B001391,P00637,F0303,A029,Premium Economy,437.73,EUR,2025-09-02,travel_agency
B001392,P00337,F0016,A008,Business,955.36,EUR,2025-09-02,website
B001393,P00801,F0265,A026,Economy,186.32,EUR,2025-09-02,call_center
B001394,P01551,F0061,A020,Business,872.34,EUR,2025-09-02,website
B001395,P00686,F0100,A006,Premium Economy,429.66,USD,2025-09-02,website
B001396,P00115,F0035,A033,Economy,149.12,EUR,2025-09-02,website
B001397,P01498,F0313,A032,Economy,112.5,EUR,2025-09-02,travel_agency
B001398,P01773,F0325,A058,Economy,145.39,EUR,2025-09-02,website
