flight_id,flight_number,airline,origin_airport_id,destination_airport_id,flight_date,departure_time,arrival_time,aircraft_type
F0001,QR4486,Qatar Airways,A042,A008,2025-09-22,10:30,12:02,Airbus A321
F0002,EK7617,Emirates,A073,A041,2025-09-07,15:30,03:41,Airbus A330
F0003,IB9677,Iberia,A018,A032,2025-09-09,09:55,16:56,Boeing 737 MAX 8
F0004,AC8185,Air Canada,A075,A052,2025-09-29,04:40,09:24,Airbus A321
F0005,LH7016,Lufthansa,A007,A015,2025-09-25,05:50,17:32,Embraer E190
F0006,CA9164,Air China,A050,A049,2025-09-03,16:20,01:19,Airbus A320
F0007,SQ4908,Singapore Airlines,A015,A069,2025-09-22,10:05,22:01,Boeing 737 MAX 8
F0008,SQ1843,Singapore Airlines,A059,A001,2025-09-06,05:40,15:12,Airbus A380
F0009,EK8937,Emirates,A065,A078,2025-09-27,11:10,14:46,Boeing 787-9
F0010,TK6047,Turkish Airlines,A001,A077,2025-09-30,00:05,09:25,Airbus A380
F0011,LX8062,Swiss International Air Lines,A008,A031,2025-09-08,02:55,05:15,Airbus A321
F0012,LH2805,Lufthansa,A069,A017,2025-09-25,15:40,03:55,Airbus A380
F0013,EK3395,Emirates,A078,A055,2025-09-17,23:55,10:07,Airbus A380
F0014,EY3781,Etihad Airways,A048,A057,2025-09-13,03:15,11:57,Airbus A321
F0015,IB217,Iberia,A003,A076,2025-09-11,18:15,23:10,Airbus A321
F0016,UA8523,United Airlines,A008,A030,2025-09-23,10:05,11:37,Airbus A350
F0017,IB9540,Iberia,A063,A028,2025-09-09,23:45,03:00,Boeing 777-300ER
F0018,EK7162,Emirates,A061,A053,2025-09-08,03:50,06:26,Boeing 737-800
F0019,DL1712,Delta Air Lines,A053,A060,2025-09-14,20:50,09:19,Airbus A320
F0020,QR7450,Qatar Airways,A044,A014,2025-09-13,06:40,10:56,Airbus A330
F0021,NH9116,ANA,A024,A036,2025-09-14,02:35,07:50,Airbus A321
F0022,UA8056,United Airlines,A070,A002,2025-09-02,05:30,10:32,Boeing 777-300ER
F0023,BA4445,British Airways,A052,A008,2025-09-07,00:30,07:58,Boeing 777-300ER
F0024,JL3666,Japan Airlines,A055,A072,2025-09-10,06:20,09:58,Airbus A320
F0025,TK7911,Turkish Airlines,A070,A008,2025-09-20,01:45,03:43,Boeing 787-9
F0026,DL1222,Delta Air Lines,A068,A021,2025-09-30,02:10,11:50,Embraer E190
F0027,AA9840,American Airlines,A031,A052,2025-09-03,07:45,18:28,Airbus A320
F0028,LX4372,Swiss International Air Lines,A011,A054,2025-09-20,16:25,03:03,Airbus A350
F0029,SQ5015,Singapore Airlines,A041,A031,2025-09-22,04:50,12:35,Boeing 777-300ER
F0030,NH1300,ANA,A010,A002,2025-09-11,19:25,08:23,Boeing 787-9
F0031,LH6154,Lufthansa,A065,A034,2025-09-07,02:15,09:12,Airbus A380
F0032,KL228,KLM,A057,A070,2025-09-06,20:40,08:06,Boeing 787-9
F0033,SQ9164,Singapore Airlines,A014,A018,2025-09-10,03:55,06:53,Airbus A330
F0034,EK4425,Emirates,A037,A078,2025-09-09,06:50,13:41,Boeing 787-9
F0035,UA822,United Airlines,A033,A007,2025-09-16,13:20,01:09,Airbus A320
F0036,BA7107,British Airways,A017,A034,2025-09-11,17:55,02:27,Boeing 787-9
F0037,LH9643,Lufthansa,A015,A010,2025-09-01,01:25,11:43,Boeing 787-9
F0038,DL5962,Delta Air Lines,A056,A017,2025-09-05,11:00,17:15,Airbus A350
F0039,AC2632,Air Canada,A032,A014,2025-09-22,13:45,00:18,Airbus A350
F0040,CX5542,Cathay Pacific,A021,A023,2025-09-28,05:55,07:20,Boeing 737 MAX 8
F0041,BA734,British Airways,A032,A035,2025-09-26,03:30,16:28,Boeing 777-300ER
F0042,AC487,Air Canada,A026,A059,2025-09-08,07:15,13:27,Airbus A350
F0043,UA8446,United Airlines,A043,A036,2025-09-13,11:50,17:35,Boeing 737 MAX 8
F0045,CX7249,Cathay Pacific,A014,A077,2025-09-02,23:25,06:18,Embraer E190
F0046,LX7244,Swiss International Air Lines,A015,A050,2025-09-17,08:00,12:14,Airbus A320
F0047,AC5509,Air Canada,A069,A026,2025-09-17,02:50,11:11,Embraer E190
F0048,EY5444,Etihad Airways,A016,A039,2025-09-11,21:30,03:46,Boeing 737 MAX 8
F0049,LH6311,Lufthansa,A038,A071,2025-09-23,13:50,18:06,Airbus A330
F0050,QF4800,Qantas,A073,A039,2025-09-20,00:20,10:41,Airbus A350
F0051,TK3601,Turkish Airlines,A075,A078,2025-09-14,14:35,23:31,Boeing 787-9
F0052,KL5591,KLM,A022,A011,2025-09-16,21:50,07:37,Airbus A321
F0053,QR857,Qatar Airways,A031,A040,2025-09-27,04:00,08:23,Airbus A350
F0054,NH3285,ANA,A079,A010,2025-09-16,20:45,04:49,Boeing 737 MAX 8
F0055,LH1846,Lufthansa,A052,A032,2025-09-16,13:55,18:20,Boeing 737 MAX 8
F0056,NH2088,ANA,A023,A067,2025-09-08,17:15,19:06,Boeing 777-300ER
F0057,IB8370,Iberia,A060,A068,2025-09-05,10:35,21:44,Boeing 737 MAX 8
F0058,BA4150,British Airways,A071,A058,2025-09-27,14:20,23:26,Airbus A380
F0059,QR4781,Qatar Airways,A067,A063,2025-09-25,14:05,19:46,Airbus A350
F0060,IB3888,Iberia,A043,A041,2025-09-09,04:10,06:32,Boeing 737 MAX 8
F0061,UA8990,United Airlines,A020,A028,2025-09-23,13:25,21:29,Boeing 777-300ER
F0062,CX420,Cathay Pacific,A008,A027,2025-09-14,18:55,02:33,Embraer E190
F0063,AC8918,Air Canada,A062,A001,2025-09-13,12:30,18:35,Boeing 787-9
F0064,JL8056,Japan Airlines,A078,A029,2025-09-26,08:30,13:14,Airbus A320
F0065,BA8851,British Airways,A044,A052,2025-09-13,04:45,13:43,Airbus A320
F0066,LX7122,Swiss International Air Lines,A051,A076,2025-09-30,00:05,12:23,Airbus A330
F0067,DL3567,Delta Air Lines,A060,A024,2025-09-28,12:25,17:51,Boeing 777-300ER
F0068,SQ7805,Singapore Airlines,A044,A049,2025-09-11,08:05,16:16,Airbus A320
F0069,AC759,Air Canada,A070,A007,2025-09-24,20:05,00:54,Airbus A320
F0071,SQ1976,Singapore Airlines,A028,A060,2025-09-19,05:45,13:02,Airbus A330
F0073,LX1769,Swiss International Air Lines,A026,A010,2025-09-23,20:15,09:02,Airbus A380
F0074,LX7118,Swiss International Air Lines,A077,A016,2025-09-28,11:40,13:22,Boeing 737-800
F0075,AF7202,Air France,A065,A044,2025-09-03,15:05,23:15,Boeing 737-800
F0076,CX4525,Cathay Pacific,A059,A020,2025-09-21,23:40,03:40,Embraer E190
F0077,NH4497,ANA,A069,A062,2025-09-26,23:45,08:11,Boeing 737-800
F0078,SQ9436,Singapore Airlines,A032,A012,2025-09-28,07:35,16:16,Embraer E190
F0079,AF8088,Air France,A049,A044,2025-09-22,10:10,19:36,Airbus A350
F0080,SQ9206,Singapore Airlines,A034,A044,2025-09-12,22:20,09:30,Airbus A320
F0081,QR4037,Qatar Airways,A025,A011,2025-09-17,15:40,23:36,Boeing 777-300ER
F0082,AF6725,Air France,A063,A058,2025-09-21,09:15,11:50,Airbus A350
F0083,JL7071,Japan Airlines,A075,A048,2025-09-10,16:25,02:51,Boeing 787-9
F0084,SQ2076,Singapore Airlines,A046,A059,2025-09-11,08:15,14:28,Airbus A350
F0085,BA8033,British Airways,A016,A069,2025-09-11,06:55,11:11,Airbus A380
F0086,CA4953,Air China,A076,A068,2025-09-24,03:15,09:04,Airbus A350
F0087,AF845,Air France,A023,A039,2025-09-12,04:20,14:26,Airbus A320
F0088,JL4758,Japan Airlines,A038,A017,2025-09-18,00:45,03:30,Boeing 777-300ER
F0090,LX2585,Swiss International Air Lines,A063,A010,2025-09-13,21:00,08:44,Airbus A330
F0091,UA6918,United Airlines,A073,A039,2025-09-26,03:40,08:54,Embraer E190
F0092,EY4971,Etihad Airways,A080,A029,2025-09-20,14:35,22:04,Embraer E190
F0093,CA1725,Air China,A040,A073,2025-09-14,19:55,21:56,Airbus A350
F0094,UA9143,United Airlines,A028,A034,2025-09-21,07:10,10:50,Airbus A321
F0095,NH4871,ANA,A001,A053,2025-09-06,19:35,08:20,Airbus A320
F0096,UA9763,United Airlines,A037,A059,2025-09-08,07:20,20:03,Airbus A350
F0097,QR2430,Qatar Airways,A015,A070,2025-09-14,04:20,16:23,Airbus A321
F0098,CA2137,Air China,A022,A040,2025-09-02,09:35,20:17,Boeing 777-300ER
F0099,SQ7272,Singapore Airlines,A039,A052,2025-09-23,17:35,03:07,Airbus A321
F0101,AF759,Air France,A074,A076,2025-09-22,08:45,21:13,Airbus A330
F0102,SQ8156,Singapore Airlines,A067,A057,2025-09-16,18:30,22:35,Airbus A321
F0103,TK2734,Turkish Airlines,A045,A053,2025-09-16,21:05,03:33,Boeing 737-800
F0104,QF1542,Qantas,A064,A037,2025-09-14,01:35,11:58,Boeing 737-800
F0105,QF8989,Qantas,A042,A015,2025-09-09,00:50,10:36,Boeing 777-300ER
F0106,EY7342,Etihad Airways,A007,A025,2025-09-14,19:35,02:45,Airbus A320
F0107,LH8041,Lufthansa,A035,A071,2025-09-07,14:55,20:49,Airbus A321
F0108,BA9148,British Airways,A078,A031,2025-09-01,17:00,23:18,Boeing 737 MAX 8
F0109,NH8265,ANA,A029,A015,2025-09-03,20:10,23:10,Airbus A380
F0110,JL9131,Japan Airlines,A035,A054,2025-09-17,07:35,16:38,Airbus A330
F0111,EY6898,Etihad Airways,A025,A077,2025-09-13,02:20,05:39,Boeing 737-800
F0112,AF9716,Air France,A065,A035,2025-09-30,23:20,05:09,Embraer E190
F0113,NH5546,ANA,A063,A020,2025-09-22,15:25,01:36,Boeing 787-9
F0114,NH4012,ANA,A070,A049,2025-09-25,06:55,13:24,Embraer E190
F0115,DL6346,Delta Air Lines,A030,A053,2025-09-13,23:35,06:00,Boeing 737 MAX 8
F0116,DL5539,Delta Air Lines,A020,A064,2025-09-22,16:45,19:54,Airbus A321
