booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B000001,P00801,F0312,A033,Economy,195.5,EUR,2025-08-01,website
B000002,P00973,F0274,A016,Economy,85.69,USD,2025-08-01,mobile_app
B000003,P00214,F0156,A046,Economy,157.04,EUR,2025-08-01,travel_agency
B000004,P00383,F0309,A079,Economy,97.07,GBP,2025-08-01,website
B000005,P01351,F0106,A007,Economy,138.07,EUR,2025-08-01,website
B000006,P01761,F0006,A050,Economy,186.64,EUR,2025-08-01,call_center
B000007,P00980,F0067,A060,Economy,165.64,EUR,2025-08-01,travel_agency
B000008,P00422,F0106,A007,Economy,111.03,USD,2025-08-01,mobile_app
B000009,P00636,F0082,A063,Economy,146.02,USD,2025-08-01,mobile_app
B000010,P00293,F0142,A028,Economy,128.16,USD,2025-08-01,mobile_app
B000011,P01166,F0127,A062,Economy,182.78,EUR,2025-08-02,mobile_app
B000012,P00935,F0047,A069,Economy,115.69,USD,2025-08-02,travel_agency
B000013,P01659,F0201,A039,Economy,179.08,EUR,2025-08-02,website
B000014,P00938,F0317,A005,Premium Economy,294.48,USD,2025-08-02,mobile_app
B000015,P00090,F0049,A038,Economy,102.2,GBP,2025-08-02,website
B000016,P01366,F0322,A075,Economy,187.45,USD,2025-08-02,mobile_app
B000017,P00843,F0112,A065,Business,1423.07,USD,2025-08-02,call_center
B000018,P01034,F0040,A021,Premium Economy,412.09,EUR,2025-08-02,mobile_app
B000019,P00092,F0130,A018,Economy,130.23,EUR,2025-08-02,mobile_app
B000020,P01528,F0237,A045,Economy,122.32,EUR,2025-08-02,website
B000021,P00280,F0129,A064,Economy,113.22,USD,2025-08-02,mobile_app
B000022,P01346,F0035,A033,Economy,102.53,GBP,2025-08-02,website
B000023,P00350,F0143,A009,Business,1283.03,USD,2025-08-03,website
B000024,P00801,F0064,A078,Economy,93.23,USD,2025-08-03,website
B000025,P00734,F0140,A048,Economy,94.42,USD,2025-08-03,travel_agency
B000026,P01427,F0273,A075,Economy,78.02,USD,2025-08-03,mobile_app
B000027,P00211,F0340,A073,Premium Economy,296.31,EUR,2025-08-03,website
B000028,P00773,F0003,A018,Economy,168.66,GBP,2025-08-03,website
B000029,P00033,F0123,A073,Economy,125.13,GBP,2025-08-03,website
B000030,P00130,F0099,A039,Premium Economy,243.93,GBP,2025-08-03,travel_agency
B000031,P00343,F0341,A066,Economy,77.55,USD,2025-08-03,travel_agency
B000032,P00389,F0166,A040,Economy,150.71,GBP,2025-08-03,website
B000033,P00438,F0220,A015,Economy,85.34,EUR,2025-08-03,website
B000034,P00798,F0335,A076,Economy,98.81,EUR,2025-08-04,mobile_app
B000035,P00756,F0143,A009,Economy,77.54,GBP,2025-08-04,website
B000036,P00209,F0307,A005,Economy,161.78,USD,2025-08-04,travel_agency
B000037,P00195,F0292,A019,Economy,147.58,GBP,2025-08-04,mobile_app
B000038,P01580,F0348,A056,Business,1151.29,EUR,2025-08-04,mobile_app
B000039,P01365,F0163,A011,First,2064.98,EUR,2025-08-04,mobile_app
B000040,P01047,F0300,A032,Economy,152.71,EUR,2025-08-04,mobile_app
B000041,P01263,F0007,A015,Economy,167.63,EUR,2025-08-04,website
B000042,P01270,F0220,A015,Premium Economy,200.45,EUR,2025-08-04,mobile_app
B000043,P00419,F0104,A064,Economy,152.9,EUR,2025-08-04,mobile_app
B000044,P00674,F0228,A067,Premium Economy,217.35,EUR,2025-08-04,travel_agency
B000045,P00850,F0021,A024,Economy,153.65,EUR,2025-08-04,website
B000046,P00422,F0170,A041,Economy,139.95,GBP,2025-08-05,mobile_app
B000047,P01426,F0128,A038,Premium Economy,397.61,USD,2025-08-05,website
B000048,P01290,F0165,A045,Economy,72.76,GBP,2025-08-05,website
B000049,P00290,F0099,A039,Economy,190.22,EUR,2025-08-05,website
B000050,P00419,F0282,A001,Business,735.04,EUR,2025-08-05,mobile_app
